,at-flux,gal_num,ned_name,u-r,re,type_m
156,at_flux__yx,K0209,UGC04029,2.66,14.255999565,5
157,at_flux__yx,K0210,UGC04054,2.2,13.463999748,-1
158,at_flux__yx,K0216,IC0480,2.45,13.463999748,2
159,at_flux__yx,K0219,NGC2476,2.65,7.5240001678,1
160,at_flux__yx,K0221,NGC2480,1.96,21.780000686,0
161,at_flux__yx,K0231,NGC2481,2.6,6.7319998741,5
162,at_flux__yx,K0232,NGC2486,3.01,12.671999931,4
163,at_flux__yx,K0260,NGC2487,3.2,23.36400032,4
164,at_flux__yx,K0272,UGC04132,2.39,14.255999565,-1
165,at_flux__yx,K0273,UGC04140,2.23,11.484000206,4
166,at_flux__yx,K0274,UGC04145,2.46,8.3159999847,1
167,at_flux__yx,K0275,UGC04136,2.85,5.9400000572,3
168,at_flux__yx,K0277,IC0485,2.56,5.5440001487,3
169,at_flux__yx,K0278,NGC2507,2.95,15.444000244,2
170,at_flux__yx,K0279,NGC2513,3.09,17.423999786,-1
171,at_flux__yx,K0280,UGC04176,1.55,13.463999748,2
172,at_flux__yx,K0281,UGC04190,2.76,7.1279997825,0
173,at_flux__yx,K0297,UGC04197,2.94,11.088000297,3
174,at_flux__yx,K0306,UGC04210,2.25,8.7119998931,5
175,at_flux__yx,K0307,UGC04195,2.8,15.048000335,2
176,at_flux__yx,K0309,NGC2522,2.87,7.5240001678,3
177,at_flux__yx,K0310,UGC04233,3.04,9.1079998016,5
178,at_flux__yx,K0311,NGC2530,1.93,17.027999877,1
179,at_flux__yx,K0312,UGC04240,2.77,9.1079998016,5
180,at_flux__yx,K0314,UGC04245,2.36,11.484000206,1
181,at_flux__yx,K0318,UGC04258,1.81,12.276000022,-1
182,at_flux__yx,K0326,NGC2540,1.99,12.671999931,2
183,at_flux__yx,K0339,NGC2543,2.66,23.760000228,0
184,at_flux__yx,K0341,UGC04280,2.33,7.5240001678,-1
185,at_flux__yx,K0353,IC2247,3.16,12.671999931,5
186,at_flux__yx,K0355,UGC04308,3.86,22.572000503,4
187,at_flux__yx,K0364,NGC2553,2.67,7.9200000762,1
188,at_flux__yx,K0381,NGC2554,2.86,16.236000061,1
189,at_flux__yx,K0383,UGC04262,2.98,14.255999565,3
190,at_flux__yx,K0386,NGC2558,2.88,15.444000244,1
191,at_flux__yx,K0387,NGC2565,2.26,7.5240001678,-1
192,at_flux__yx,K0388,UGC04323,2.83,10.295999527,3
193,at_flux__yx,K0391,NGC2572,2.47,7.5240001678,0
194,at_flux__yx,K0414,NGC2577,2.72,11.088000297,2
195,at_flux__yx,K0436,UGC04375,3.1,22.968000412,3
196,at_flux__yx,K0437,IC2341,2.42,7.1279997825,3
197,at_flux__yx,K0475,UGC04386,3.26,15.444000244,5
198,at_flux__yx,K0476,IC2361,2.04,11.088000297,3
199,at_flux__yx,K0479,UGC04405,2.61,7.5240001678,0
200,at_flux__yx,K0486,NGC2592,2.67,7.5240001678,4
201,at_flux__yx,K0500,UGC04416,2.24,16.631999969,3
202,at_flux__yx,K0502,NGC2596,2.55,12.671999931,1
203,at_flux__yx,K0515,NGC2595,11.37,28.115999221,3
204,at_flux__yx,K0518,UGC04425,2.47,11.880000114,2
205,at_flux__yx,K0528,NGC2598,2.41,7.9200000762,5
206,at_flux__yx,K0548,UGC04464,2.19,11.088000297,4
207,at_flux__yx,K0562,UGC04461,1.79,11.880000114,0
208,at_flux__yx,K0569,NGC2604,1.85,15.840000152,2
209,at_flux__yx,K0580,UGC04468,2.81,15.444000244,3
210,at_flux__yx,K0581,UGC04505,2.56,9.1079998016,4
211,at_flux__yx,K0588,NGC2620,2.83,14.255999565,-1
212,at_flux__yx,K0589,NGC2623,2.26,9.50399971,-1
213,at_flux__yx,K0592,UGC04515,2.97,12.276000022,-1
214,at_flux__yx,K0602,UGC04532,1.75,8.7119998931,-1
215,at_flux__yx,K0603,NGC2638,2.59,6.7319998741,4
216,at_flux__yx,K0606,UGC04548,2.38,9.1079998016,5
217,at_flux__yx,K0607,UGC04550,2.11,16.236000061,0
218,at_flux__yx,K0608,NGC2639,2.71,13.067999839,3
219,at_flux__yx,K0609,UGC04546,2.81,4.3559999465,4
220,at_flux__yx,K0610,UGC04551,2.57,4.751999855,2
221,at_flux__yx,K0611,UGC04559,2.59,11.484000206,3
222,at_flux__yx,K0612,IC2393,2.69,11.484000206,-1
223,at_flux__yx,K0613,UGC04587,2.56,11.880000114,0
224,at_flux__yx,K0615,IC2407,2.23,7.5240001678,2
225,at_flux__yx,K0624,UGC04659,2.5,17.027999877,1
226,at_flux__yx,K0630,NGC2692,2.64,7.5240001678,3
227,at_flux__yx,K0633,NGC2693,2.75,13.859999656,-1
228,at_flux__yx,K0634,NGC2710,2.36,17.423999786,1
229,at_flux__yx,K0651,NGC2719,0.99,9.1079998016,1
230,at_flux__yx,K0652,UGC04722,3.06,16.631999969,4
231,at_flux__yx,K0653,NGC2730,1.89,20.195999145,1
232,at_flux__yx,K0657,NGC2735,2.57,6.3359999656,5
233,at_flux__yx,K0659,NGC2738,1.88,9.8999996185,3
234,at_flux__yx,K0663,2MASXJ09043394+4517323,1.96,15.048000335,1
235,at_flux__yx,K0664,UGC04773,2.69,7.1279997825,2
236,at_flux__yx,K0665,IC2434,2.38,10.692000389,2
237,at_flux__yx,K0672,NGC2764,2.12,11.484000206,2
238,at_flux__yx,K0673,UGC04800,1.78,13.859999656,1
239,at_flux__yx,K0676,NGC2742A,3.01,16.236000061,2
240,at_flux__yx,K0679,NGC2769,2.68,9.8999996185,4
241,at_flux__yx,K0684,NGC2776,2.37,24.552000045,2
242,at_flux__yx,K0697,NGC2778,2.68,9.8999996185,4
243,at_flux__yx,K0703,UGC04845,1.94,16.631999969,0
244,at_flux__yx,K0705,UGC04851,2.61,7.1279997825,0
245,at_flux__yx,K0707,NGC2783,2.71,15.444000244,4
246,at_flux__yx,K0708,UGC04869,3.27,11.088000297,-1
247,at_flux__yx,K0711,NGC2794,2.42,13.067999839,4
248,at_flux__yx,K0713,NGC2795,3.14,17.027999877,4
249,at_flux__yx,K0714,NGC2796,3.21,15.444000244,3
250,at_flux__yx,K0715,IC2450,1.84,10.692000389,3
251,at_flux__yx,K0740,UGC04906,2.63,12.671999931,1
252,at_flux__yx,K0744,NGC2800,2.79,15.444000244,0
253,at_flux__yx,K0748,UGC04926,2.79,9.8999996185,3
254,at_flux__yx,K0749,CGCG151-054,2.95,26.927999496,5
255,at_flux__yx,K0754,UGC04938,2.62,5.9400000572,3
256,at_flux__yx,K0758,NGC2826,2.6,5.1479997634,4
257,at_flux__yx,K0764,NGC2832,2.99,17.819999694,3
258,at_flux__yx,K0768,IC2461,2.79,11.088000297,3
259,at_flux__yx,K0769,NGC2805,2.24,38.01599884,3
260,at_flux__yx,K0774,UGC04958,2.3,9.1079998016,2
261,at_flux__yx,K0775,UGC04970,2.1,7.9200000762,4
262,at_flux__yx,K0778,UGC04982,1.94,10.295999527,0
263,at_flux__yx,K0779,NGC2854,2.03,10.692000389,3
264,at_flux__yx,K0780,NGC2860,2.26,7.1279997825,-1
265,at_flux__yx,K0781,NGC2872,2.86,12.671999931,-1
266,at_flux__yx,K0782,NGC2874,2.34,16.631999969,-1
267,at_flux__yx,K0783,UGC05020,2.55,15.840000152,2
268,at_flux__yx,K0787,NGC2882,2.28,15.048000335,0
269,at_flux__yx,K0788,2MASXJ09283754+3832213,1.3,9.8999996185,1
270,at_flux__yx,K0789,NGC2894,2.63,10.295999527,2
271,at_flux__yx,K0790,NGC2880,2.65,13.067999839,3
272,at_flux__yx,K0791,IC2487,3.1,15.048000335,1
273,at_flux__yx,K0794,IC0540,2.59,9.50399971,-1
274,at_flux__yx,K0797,NGC2906,2.96,15.048000335,2
275,at_flux__yx,K0798,NGC2919,2.12,16.236000061,3
276,at_flux__yx,K0799,NGC2916,2.18,21.780000686,4
277,at_flux__yx,K0803,UGC05108,2.44,7.9200000762,2
278,at_flux__yx,K0804,NGC2918,2.75,10.295999527,2
279,at_flux__yx,K0805,UGC05111,2.56,9.8999996185,4
280,at_flux__yx,K0806,UGC05113,2.71,5.5440001487,-1
281,at_flux__yx,K0807,NGC2927,3.03,14.255999565,2
282,at_flux__yx,K0808,NGC2929,2.68,11.088000297,1
283,at_flux__yx,K0809,NGC2939,3.11,17.027999877,1
284,at_flux__yx,K0810,NGC2943,3.15,20.591999054,3
285,at_flux__yx,K0811,NGC2942,2.33,20.591999054,1
286,at_flux__yx,K0813,UGC05145,2.92,12.276000022,3
287,at_flux__yx,K0814,NGC2954,2.57,10.692000389,-1
288,at_flux__yx,K0815,UGC05164,2.28,7.9200000762,-1
289,at_flux__yx,K0816,UGC05157,1.97,11.088000297,-1
290,at_flux__yx,K0817,NGC2955,2.21,13.859999656,4
291,at_flux__yx,K0818,NGC2968,3.67,19.799999237,1
292,at_flux__yx,K0820,NGC2965,2.69,15.840000152,3
293,at_flux__yx,K0821,NGC2959,3.23,17.027999877,2
294,at_flux__yx,K0822,UGC05215,2.3,14.255999565,0
295,at_flux__yx,K0823,IC0565,2.35,9.50399971,3
296,at_flux__yx,K0824,UGC05244,1.92,9.8999996185,2
297,at_flux__yx,K0826,UGC05267,2.91,12.276000022,0
298,at_flux__yx,K0827,NGC3021,1.72,13.463999748,4
299,at_flux__yx,K0828,UGC05315,1.59,11.880000114,4
300,at_flux__yx,K0829,UGC05320,1.96,15.444000244,-1
301,at_flux__yx,K0830,NGC3053,2.46,10.692000389,2
302,at_flux__yx,K0831,NGC3043,1.96,12.276000022,3
303,at_flux__yx,K0832,NGC3060,2.57,11.484000206,-1
304,at_flux__yx,K0833,NGC3070,2.58,11.088000297,1
305,at_flux__yx,K0834,UGC05358,1.77,15.444000244,2
306,at_flux__yx,K0835,UGC05359,2.23,10.295999527,-1
307,at_flux__yx,K0836,NGC3075,2.09,15.048000335,4
308,at_flux__yx,K0837,UGC05396,2.56,13.067999839,2
309,at_flux__yx,K0838,SDSSJ100141.02+371447.4,0.67,59.400001525,1
310,at_flux__yx,K0840,NGC3106,2.96,19.00799942,-1
311,at_flux__yx,K0841,NGC3057,1.97,25.343999862,4
312,at_flux__yx,K0842,UGC05481,2.93,13.067999839,2
313,at_flux__yx,K0843,UGC05498NED01,2.63,7.5240001678,4
314,at_flux__yx,K0844,UGC05499,2.87,16.236000061,0
315,at_flux__yx,K0845,IC0598,2.29,6.3359999656,-1
316,at_flux__yx,K0846,NGC3153,1.92,17.819999694,-1
317,at_flux__yx,K0847,NGC3158,3.1,17.819999694,2
318,at_flux__yx,K0848,NGC3160,2.75,9.50399971,2
319,at_flux__yx,K0849,UGC05520,2.04,15.840000152,3
320,at_flux__yx,K0850,UGC05529,1.88,9.1079998016,1
321,at_flux__yx,K0851,NGC3179,2.57,5.1479997634,-1
322,at_flux__yx,K0852,NGC3182,2.53,14.652000427,4
323,at_flux__yx,K0854,NGC3209,2.85,12.671999931,2
324,at_flux__yx,K0855,UGC05597,2.15,5.9400000572,5
325,at_flux__yx,K0856,UGC05598,2.17,10.692000389,2
326,at_flux__yx,K0857,UGC05604,3.55,22.572000503,3
327,at_flux__yx,K0858,NGC3230,2.89,10.692000389,0
328,at_flux__yx,K0859,UGC05642,1.51,11.484000206,-1
329,at_flux__yx,K0860,NGC3237,2.66,7.9200000762,0
330,at_flux__yx,K0861,UGC05657,2.69,9.1079998016,3
331,at_flux__yx,K0862,NGC3251,2.52,13.067999839,4
332,at_flux__yx,K0863,UGC05680,2.75,5.1479997634,1
333,at_flux__yx,K0864,UGC05695,1.85,13.067999839,-1
334,at_flux__yx,K0865,UGC05693,2.2,12.671999931,0
335,at_flux__yx,K0866,UGC05713,2.5,8.3159999847,4
336,at_flux__yx,K0867,UGC05727,1.93,11.088000297,1
337,at_flux__yx,K0868,UGC05760,2.23,13.859999656,2
338,at_flux__yx,K0869,NGC3300,2.83,11.484000206,2
339,at_flux__yx,K0870,NGC3303,2.7,17.423999786,0
340,at_flux__yx,K0871,UGC05771,2.72,10.295999527,2
341,at_flux__yx,K0872,NGC3304,2.69,7.5240001678,1
342,at_flux__yx,K0874,NGC3320,1.97,16.236000061,0
343,at_flux__yx,K0875,NGC3332,3.04,16.631999969,0
344,at_flux__yx,K0876,NGC3334,2.84,12.276000022,3
345,at_flux__yx,K0878,UGC05820,2.75,10.295999527,4
346,at_flux__yx,K0880,NGC3352,2.74,12.276000022,3
347,at_flux__yx,K0881,UGC05855,2.35,9.8999996185,-1
348,at_flux__yx,K0883,UGC05859,2.96,7.1279997825,0
349,at_flux__yx,K0884,NGC3363,2.19,13.067999839,4
350,at_flux__yx,K0885,UGC05894,2.31,11.484000206,4
351,at_flux__yx,K0886,IC0642,2.7,16.236000061,1
352,at_flux__yx,K0887,NGC3381,1.84,21.780000686,3
353,at_flux__yx,K0888,UGC05924,2.58,9.8999996185,-1
354,at_flux__yx,K0889,NGC3395,0.93,19.00799942,1
355,at_flux__yx,K0890,UGC05957,2.45,8.3159999847,2
356,at_flux__yx,K0891,NGC3419A,1.57,10.295999527,4
357,at_flux__yx,K0893,NGC3426,2.48,9.8999996185,-1
358,at_flux__yx,K0894,NGC3415,2.23,9.1079998016,1
359,at_flux__yx,K0895,NGC3406NED01,2.64,11.880000114,4
360,at_flux__yx,K0896,UGC05990,1.86,8.7119998931,3
361,at_flux__yx,K0897,NGC3440,1.51,10.295999527,2
362,at_flux__yx,K0898,NGC3462,2.8,11.880000114,3
363,at_flux__yx,K0900,UGC06036,2.75,6.7319998741,-1
364,at_flux__yx,K0901,NGC3468,2.95,11.088000297,3
365,at_flux__yx,K0902,UGC06062,2.58,6.3359999656,1
366,at_flux__yx,K0903,UGC06063,2.33,9.50399971,-1
367,at_flux__yx,K0904,NGC3471,2.27,12.671999931,3
368,at_flux__yx,K0905,NGC3488,2.1,17.819999694,5
369,at_flux__yx,K0906,UGC06104,1.54,12.276000022,4
370,at_flux__yx,K0907,UGC06106,2.54,11.088000297,3
371,at_flux__yx,K0909,UGC06136,1.77,11.484000206,4
372,at_flux__yx,K0910,UGC06148,2.69,6.7319998741,2
373,at_flux__yx,K0911,UGC06176,2.29,6.3359999656,-1
374,at_flux__yx,K0912,NGC3540,2.79,10.692000389,0
375,at_flux__yx,K0914,UGC06199,2.24,9.1079998016,2
376,at_flux__yx,K0915,UGC06207,2.37,10.692000389,2
377,at_flux__yx,K0916,NGC3547,1.58,13.463999748,0
378,at_flux__yx,K0917,NGC3543,1.9,10.295999527,0
379,at_flux__yx,K0919,UGC06219,2.86,11.088000297,0
380,at_flux__yx,K0923,IC0674,2.56,7.9200000762,-1
381,at_flux__yx,K0924,NGC3561,2.76,11.880000114,2
382,at_flux__yx,K0925,UGC06256,4.64,11.088000297,1
383,at_flux__yx,K0926,IC0677,1.84,10.295999527,4
384,at_flux__yx,K0927,UGC06273,2.68,7.9200000762,2
385,at_flux__yx,K0929,UGC06312,2.66,9.8999996185,3
386,at_flux__yx,K0930,NGC3615,2.89,10.692000389,4
387,at_flux__yx,K0932,NGC3614,2.52,28.51199913,1
388,at_flux__yx,K0933,NGC3610,2.37,10.295999527,1
389,at_flux__yx,K0934,UGC06332,2.65,9.50399971,3
390,at_flux__yx,K0935,NGC3619,2.88,20.591999054,4
391,at_flux__yx,K0936,UGC06336,2.62,5.5440001487,1
392,at_flux__yx,K0937,NGC3625,1.85,12.671999931,5
393,at_flux__yx,K1000,NGC3629,1.66,27.719999313,5
394,at_flux__yx,K1005,UGC06355,1.46,13.463999748,2
395,at_flux__yx,K1007,CGCG126-035,2.58,6.3359999656,5
396,at_flux__yx,K1009,UGC06380,2.19,8.7119998931,5
397,at_flux__yx,K1010,UGC06383,1.7,12.671999931,5
398,at_flux__yx,K1011,NGC3649,2.3,5.9400000572,5
399,at_flux__yx,K1013,NGC3642,2.12,20.591999054,4
400,at_flux__yx,K1015,IC2763,1.55,12.671999931,5
401,at_flux__yx,K1016,NGC3648,2.7,7.9200000762,5
402,at_flux__yx,K1022,NGC3650,2.68,9.8999996185,2
403,at_flux__yx,K1024,NGC3652,1.39,17.423999786,5
404,at_flux__yx,K1075,UGC06397,2.85,7.9200000762,5
405,at_flux__yx,K1076,NGC3656,2.52,17.027999877,4
406,at_flux__yx,K1080,UGC06414,2.67,6.7319998741,5
407,at_flux__yx,K2014,NGC3668,2.37,15.840000152,5
408,at_flux__yx,K2044,UGC06433,1.28,14.255999565,1
409,at_flux__yx,K2052,NGC3674,2.6,5.9400000572,5
410,at_flux__yx,K2063,UGC06455,2.46,14.255999565,1
411,at_flux__yx,K2707,NGC3683,2.52,15.444000244,-1
412,at_flux__yx,K2752,NGC3682,2.1,12.276000022,4
413,at_flux__yx,K2780,NGC3687,2.41,16.631999969,0
414,at_flux__yx,K2781,NGC3697,2.25,17.027999877,2
415,at_flux__yx,K2795,NGC3683A,2.72,20.988000869,2
416,at_flux__yx,K2835,NGC3712,1.38,23.36400032,2
417,at_flux__yx,K2851,NGC3752,2.02,14.652000427,0
418,at_flux__yx,K2871,UGC06526,1.66,5.1479997634,2
419,at_flux__yx,K2873,NGC3728,2.59,9.1079998016,0
420,at_flux__yx,K2902,NGC3725,2.56,17.027999877,-1
421,at_flux__yx,K2999,UGC06545,2.07,11.484000206,5
422,at_flux__yx,K3004,UGC06588,2.25,12.671999931,-1
423,at_flux__yx,K3006,NGC3762,2.66,7.9200000762,0
424,at_flux__yx,K3008,NGC3772,2.61,9.8999996185,-1
425,at_flux__yx,K3018,NGC3753,4.0,13.859999656,1
426,at_flux__yx,K3019,UGC06617,2.62,6.7319998741,0
427,at_flux__yx,K3021,NGC3780,2.98,29.700000762,3
